sentiment,text
guilt,it was my turn to cook dinner i forgot a dish the favourite of  the family in the oven and it got burnt and was uneatable
joy,my joy was the joy of meeting again my husband came home after  having been away for weeks for work i was on the railway  station to meet him
fear,i was alone at home and i could hear odd noises coming from above  our bedroom i knew that nobody lived there since it was an  office i got frightened later i was given a natural  explanation
anger,a relative of mine had come to see my husband to talk to him  about a problem concerning his sister and me i was angry  because this relative of mine did not dare to speak to me and  instead spoke to my husband i got to know about it later the  same day
sadness,the death of my father even though we had not been very close to  each other
disgust,the male friend of my mother a widow moved in to live with us  i did not like the man
shame,at school i was talking to a classmate about mathematics i had  grown weary of it and said i would like to throw the book on  the arse of kuikka my classmate said now he is sitting  there and waiting for the book kuikka was one of the most quiet  boys of the class i was ashamed of myself
guilt,the death of my father made me feel quite guilty because my  attitude towards him had been cold and indifferent
joy,my mother sister and i were thinking about old times our  childhood and we had a very happy time
fear,my husband had gone to drive a strange broken car at the  agreed time he had not returned and i feared that he had had an  accident
anger,i am a school teacher one of the classes does not obey me at all  keeps on talking does no work one afternoon everything went  wrong and i got exceedingly angry
sadness,a young close relative of mine died leaving behind a baby a few  months old
disgust,a series about freud was shown on tv in it a tampon had been  set in the nose of a woman and forgotten there after great  pain it was taken off closeup picture the woman was bleeding  from the nose and the mouth
shame,i had promised to lend something to my motherinlaw and i forgot  it a couple of times when she asked me about it the third time  i was ashamed at my absentmindedness
guilt,a borrowed car broke down while i was using it it was not my  fault nevertheless i felt guilty
joy,i started a new branch of studies after having failed a former  one when i got back my exam papers i was very happy to know  that i almost had full marks
fear,i was diving below the ice in a cave at a depth of 26 metres  visibility was almost zero and the oxygen level decreased  threateningly there were three of us divers on one safety rope
anger,my mother carried on using mental pressure concerning something  which was serious and a real burden to me
sadness,my grandfather died i went to the mortuary and saw the corpse
disgust,the same as in anger
shame,as a child when i was blamed for peeing in the swimmingpool
guilt,a friend of mine was drunk and having an argument on the street  with a woman appparently his girlfriend i was walking on the  other side of the street and thought that i was not supposed to  interfere later i heard that he had shot himself that evening
joy,my girlfriend sent me a letter with a shiny picture in it
fear,i was about to begin a journey in a car with an acquaintance of  mine
anger,on the tv news i heard that nicaragua had complained about the  increasing threat of war with the usa
sadness,my girlfriend gave me the mitten left me
disgust,watching a violent movie
shame,the morning after a wild party
guilt,i picked up a girl and i thought that i had misused my  position and authority over her as there did not seem to be any  realistic possibility of continuing the relationship
joy,when to my surprise i got to know about having got very good  high school graduation marks
fear,my grandmother was about to die and it had the effect that at  night after having read a book and once in bed in perfect  darkness the fear arose that i too may suddenly die
anger,when i checked my examination paper and realized that i had been  careless thoughtless lazy and hasty so as to make unnecessary  mistakes concerning things i know and understand
sadness,when we decided my boyfriend and i that we would separate i  realized that he would have wanted to continue our relationship  and the coming separation hurt him
disgust,when an acquaintance of mine told me about the way his parents  treated their sons in an unequal manner the most successful of  them got continuous encouragement and the youngest was not  encouraged and was rejected
shame,i was talking to a friend of mine about our parents and  education i said something and then realized that i did not  know my friends parents their motives and education i felt  ashamed at having talked about something i did not know anything  about
guilt,my mother told me that the enveloppes that i had been tearing i  had torn the stamps away in good faith had been the firstday  enveloppes which my father had collected as a young man
joy,i am not especially good at english and after the high school  graduation exam in english i tensely waited for the result the  whole day in the evening when i heard that i had done  excellently i became very happy and the anxiety vanished my  family was at home
fear,i feared that i was pregnant it was not planned and i would  have been compelled to have an abortion which i would not have  liked at all fortunately after a weeks anxiety i got to know  that i was not pregnant
anger,a member of a religious sect tried to convert me using really  evil tricks to persuade me after he had left i was anxious and  angry for a long time after the event i was alone
sadness,when my boyfriend wanted to leave me i felt sad and melancholic
disgust,in a film there was an episode where they used a chain saw to  cut a man i could not look at it but i could not avoid  listening either i sought shelter in my boyfriends arms
shame,i thought i would be able to use the mangle of the house and so  i did not want any help however i blocked it and i had to get  the janitor to help me out he reproached me for not having  followed the instructions
guilt,i promised my friends that i would take care of something but i  kept forgetting about it when they asked me about it i  promised to do it immediately however i got started only after  a couple of months i felt that i had betrayed my friends
joy,when i got an unexpected letter from a guy who had been my school  mate
fear,when my brother went to shoot wild ducks i feared that the  boat would overturn and he would drown or that the gun would  accidentally go off
anger,my father had once again told me that i should be careful and try to  seek admission to other places also apart from the faculty of  social sciences at the university of helsinki i was not at all  interested in any other place and had no time to study for other  entrance exams
sadness,i would have liked to go out to chat with some acquaintances but  i realized that i was not wanted i felt hurt disappointed  lonely and deserted
disgust,when an acquaintance he was drunk of my roommate vomitted on the kitchen  carpet it was past midnight and my roommate had just moved in  this acquaintance had helped her move in
shame,i was carried away while talking about my visits abroad and i  tended to boast a little till i realized that the listener was  amused
guilt,when i was babysitting at my cousins place i tried to have a  pleasant time and did not really take care of the child i do  not care very much about children
joy,when i got 2130 points in an exam of statistics the result was  unexpected and it made me realize that statistics do not  surpass my abilities as i have sometimes thought
fear,when a big angry dog put its snout on my arm and had i made one  movement it would have bitten me
anger,when my roommates were watching videotapes and prevented me  from watching the news the first feeling i had was that i was  being treated unfairly and then came the feeling of anger
sadness,when after a night of sleeping in anothers arms one wakes  alone and knows that the lonely arms of the night are not the  same that one meets in the morning
disgust,when an unpleasant person tried to make friends with me a  subtle small insignificant grey being whose helplessness and  neutrality evoked the feeling of disgust in me
shame,badly chosen words to a vague acquaintance of mine made me feel  ashamed at having given the wrong impression about what i wanted  to say thoughtlessness
guilt,when i behaved improperly fought in a public place  afterwards i felt guilty about my conduct
joy,when my friend told me that he would come and meet me in a  moment
fear,my father had been drinking and i feared him when we went to bed  at night
anger,my friends promised me that they would definitely call me to tell  me if they were visiting me or not
sadness,a close friend of mine had not contacted me for a long time
disgust,a friend of mine came to see me when he was quite drunk
shame,i said something especially stupid which i did not mean at all
guilt,i did not go to help a friend of mine though she probably needed  me
joy,when i felt that an exam which i had feared was an easy one and  went well
fear,i was afraid when my dog ran out through a crack in the fence  when a train was coming
anger,when a friend of mine was drawn into a fight because of the  stupid gang he belonged to i felt angry with him and his  friends they could not think about anything sensible but would  fool around without taking into consideration the feelings of  other persons
sadness,i felt sad after having had an argument with my boyfriend i felt  that he did not understand me and that there was no point in  carrying on with the relationship
disgust,i detested my father who was a drunkard he would rave  threaten and blame my mother and me he finally drove us away  from home
shame,when i was on holiday with my former boyfriend he hit me and  behaved in a very evil and ugly manner in front of the hotel  personnel
guilt,when as a child i stole from a friend of mine the ring she had  got in an easter egg
joy,when i got home from a pleasant trip abroad i got to know that i  had been accepted at university
fear,at school i had acted against the will of the group and the  next day they promised to take revenge on me
anger,my mother had for some time been trying to separate me from a  good friend who she thought was not good company for me  finally at breakfast one day we had an argument and i tried to  defend my friend
sadness,i got to know about the death of a close friend
disgust,when i was watching a movie with many violent episodes they  accurately showed the cutting of corpses etc
shame,when i was caught telling a white lie at that time i was not  allowed to stay outdoors after 8 pm one day when i was late i  made up a story that our neighbour had invited me to his place  though i had actually forgotten about the time while playing with  my pals
guilt,when before the last exam i have taken i went out instead of  studying
joy,when i was pressing figures on the curtain cloth i had bought  the cloth after months of hindrances
fear,i am a kindergarten teacher and i am thoroughly weary of my job  after having taken the university entrance exam i suffered from  anxiety for weeks as i did not want to carry on with my work studies  were the only alternative
anger,my lifepartner who was drinking more and more spoke about  kicking the cat he had never done anything of the kind but i  knew that he would do so one day without thinking about it
sadness,estrangement from my best woman friend we have been going  different ways for quite some time now but the break was total  when she got married as her husband is unreasonably jealous of me
disgust,my lifepartner is going through a crisis way of life oldfashioned values  and can only get out of it by talking bold decisions i have  noticed his cowardice and attempts to escape his problems by  drinking i detest his drinking and his being full of selfpity
shame,again a quarrel had come up in our difficult relationship my  lifepartner threw all the books off the shelf i am sure that it  disturbed our neighbours since this happened late in the night
guilt,a lonely neurotic shy girl lives nearby she has expressed a  wish to meet me i have however avoided her turned down an  invitation as the crisis my partner is going through uses up all  my empathy
joy,begining the weekend with my girlfriend cozyness beer and  wine
fear,the fear about my future work making ends meet and health  coping
anger,a friend of mine ridiculed me telling me that i would never  accomplish anything i felt that he had interfered with my life
sadness,i felt sad at having to leave my girlfriend after constant problems  and failed attempts at reconciliation my sadness was caused by  the irreversibility of the decision
disgust,a man spat on the wall of a house
shame,in an express bus i sat on a seat meant for senior citizens and  invalids
guilt,when i did not succeed in finding a job after having finished a  nonacademic degree
joy,when after an overwhelming anxiety and enquiry i understood  something about why i exist and what my task in life is
fear,at the railway station while waiting for the last train at night  i noticed that a drunk young man was appraching me in a  purposeful mannner
anger,while having a discussion with my mother i realized that she  does not for a moment doubt the justification of her making the  decisions concerning my life
sadness,when i think that i will probably never have a genuine contact  with my parents
disgust,while reading olli jalonens new book the distant cold and  selfish relationships between people in the book made me feel  disgusted
shame,when i approached a person of the opposite sex and was rejected
guilt,when i noticed that my little sister was sulking because i could  not meet her because of a misunderstanding
joy,the day i got to know that i would get a shared dwelling with my  boyfriend my parents place was getting a little crowded with  my growing bother wanting a room to himself i first felt doubt  then joy but also sadness the feeling of joy was the  strongest
fear,my grandfather had lungcancer and was being nursed at  home i felt fear when i was alone with him and he almost choked  on mucus secretions
anger,the outrageous conduct of a relative towards me and those close  to meblaming us and lying
sadness,we had to finish the life of our 8 yearold dog
disgust,a very drunk person
shame,an argument that grew out of an ordinary conversation with a  person very close to me when we should have been having a good  time together
guilt,while trying to get my little brother over a ditch he fell on  his head and started crying i was scared of having caused him  permanent injury
joy,a chat on the telephone with a friend
fear,meeting some new unpleasant people or some new demanding  situation
anger,for example unfair pushing in a bus
sadness,when i am in my opinion not understood correctly
disgust,when some people act very important in any situation
shame,generally when i am late in attending to matters for example  paying bills
guilt,if one has planned to do something important and then for  some reason fails to do it
joy,i was in a dancingtavern and the atmosphere was one of waiting  for the end of the world suddenly people began dancing wildly  inspired by the band an unbelievable experience wonderful  that even finns sometimes flare up and forget to think what  others are thinking of me it was delightful to dance to ones  heart content
fear,i was travelling back home by boat with two friends of mine after  a lovely holiday trip the night and the sea were dark and the  wind was blowing i feared that death was there on the boat i  somehow felt sure about it i feared being left alone
anger,i was at home filling my tax report nobody had time to help  me i would have liked to do it quickly so that i could go and  meet a friend of mine who had just returned from hospital i got  angry as both my brother and my father refused to give me their calculator  as i had not asked for it nicely i could not leave as i  had to wait for help and the tax report had to be done
sadness,i tried to talk to my parents over the phone as i wanted to go  home for the weekend and i knew that i would not be able to bear  it i tried to reduce the gulf and the conflict between us by  talking in order to unite our worlds result hysterical mess  blinding and blaming
disgust,my mother called me because she had read through the enveloppe a letter  addressed to me she denied having read it intentionally and  said the words just popped out through the enveloppe as the sun  was shining on it hah hah
shame,i feared that i would have to describe my sexual life to an  older strange woman
guilt,when i moved away from home
joy,the inflammation of the ear of my child got cured and the doctor  said that the ear was completely all right
fear,my husband suddenly fell ill seriously and during the medical  examinations we did not know what would follow
anger,the housing council asked the city to cut 40 linden trees so that  the inhabitants of the lower floors would have a view to the sea
sadness,my child unexpectedly started acting in a restless and  disturbing way at school in addition his performance at school  weakened
disgust,on a trip abroad a ladylike member of our group turned out to  be an alcoholic she spoilt many days of my holidays because of  her behaviour and paranoia
shame,i failed an exam which i thought i would certainly pass
guilt,i had been guilty of gossiping and blaming others and one of my  superiors at the workplace made a formal reprimand
joy,when a student of mine at music performed and played remarkably well
fear,when climbing up the stairs to the top of a skijumping hill
anger,my boyfriend came home late one night without having told me  about it before
sadness,the breaking up of a long lasting relationship
disgust,while watching the movie called deer hunter on tv when it  showed how prisoners were treated
shame,when i noticed that a person i found attractive had seen me  picking my nose
guilt,when i think that i have been too stict or narrow minded towards  my students
joy,when i made up with a girlfriend of mine after having been on  unfriendly terms with her my fault i cried with joy that  evening
fear,while cycling in the country i came across a large herd of  cows
anger,when i heard that my stepmother had treated my mother in a wrong  manner
sadness,when my friend did not pass the high school graduation  examinations
disgust,when i heard about the advances an acquaintance of mine had made  to my friends who did not approve of them
shame,when after having had sexual intercourse with a friend i thought  that he had told about it to a friend of his
guilt,when i promised a male friend of mine to visit him and did not
joy,during lectures i sensed an unexpressed understanding with a boy  i did not know we exchange glances i think he likes me and i  like him too perhaps he has fallen in love with me
fear,at night i walk home past a forest once somebody got stabbed  in the forest i imagine someone attacking me and i hurry up
anger,in a tram the ticket seller was commanding taking the role of a  leader trying to emphasize her nonexistent authority with undue  strictness towards a goodhumoured drunk who could not find his  ticket at once
sadness,a relationship in which i had put my trust broke up i was sad  when i realized how easy it is to forget something that one had  once regarded as great and significant
disgust,a nightmare i was dreaming about bloodsuckers which i tried to  shake off from my body they are everywhere they get glued they  suck and there are a lot of them i panic
shame,i told evil lies about a close friend of mine i was evil in  order to sound jolly to charm a person whom i wanted to impress  i sold my friend i was despicable
guilt,i met my ex boyfriend by chance we separated a few months ago  and i am now with a new boyfriend my ex boyfriend looked  depressed and i know i am not to be blamed
joy,during interrailtrip after troubles i met my little  sister
fear,traveling as the only female in a railway carriage in the middle  of the night in italy
anger,a male honduran acquaintance of mine despised my opinions
sadness,when our dog died
disgust,while walking on the street with a good friend of mine we met an  acquaintance of hers my friend started showing off and telling  false stories about herself and praising herself
shame,i was dishonest to my boyfriend concerning something that is  important to our relationship
guilt,a parking fine
joy,after having at last finished my masters thesis i felt great  joy and relief i had been haunted by the thesis during the  whole of my studies
fear,while preparing my masters thesis i was scared that i would not  accomplish anything as the subject was rather difficult
anger,during the summer at my workplace a person kept interfering  with my tasks and making unfounded remarks i felt hatred for  him but it stopped when i realized that he just longed for attention
sadness,the last time i felt sad and disappointed was when i did not do  as well as i had hoped in one of the final exams as compared  with the earlier exams the questions i think were unjust
disgust,after the first of may i detested my fiances friends who had  piled on to our party and spoilt it completely
shame,after our sad first of may party i felt ashamed because the  friends who had been invited had to suffer we the organizers  of the party did not drive the intruders away
guilt,at my summer job i was responsible for making various orders  it was not me who had ordered some seasonal merchandise but when  much of it was left over and had to be thrown away in the autumn  i felt partly responsible for the much too large order
joy,when i met a good friend of mine after a long time
fear,i was camping with a friend of mine and we spent the night in the  forest i could not fall off to sleep and could clearly hear  noises from outside steps approaching our tent
anger,when i quarelled with my parents
sadness,being away from a very close friend i was away from finland  for a year as an exchange student
disgust,when i saw a spider
shame,while playing i urinated on grandmas floor and did not go to the  lavatory my cousin told grandma and she came
guilt,while travelling in a bus with an invalid ticket i got caught
joy,while having a discussion with a colleague of mine i realized that her  conception of man and work were similar to mine
fear,while he was drunk my life partner tried to hit me i felt  scared and fled to the bathroom
anger,a higher status colleague of mine despised my attitude and  organization of work
sadness,i could not meet my love after having waited for a month due to  illness
disgust,once again my life partner came back home drunk at midnight
shame,my love and me rented a room in a hotel one evening we stayed  there a few hours and when leaving the hotel i felt ashamed
guilt,i had by being silent disapproved my love and made him  unhappy he had not been able to keep his promise i thus was  thinking about my own conduct towards another person
joy,i had just moved to the town where i study and i got a postcard  from a good friend from my home town
fear,my boyfriend hinted over the phone about wanting to be free  he thus did not say it point blank silence followed
anger,they had returned much less of my taxes than i had expected
sadness,after my boyfriend and i had separated
disgust,in the morning the cat of my landlady had vomited on the floor  near the staircase i take to go to the bathroom
shame,my boyfriends mother whom i had not met earlier made an  unexpected visit i was lying lazily on the bed reading a  newspaper and my boyfriend was studying
guilt,the cat of my landlady escaped through the window which i had  left open
joy,i got a letter from my best friend whom i had not heard from for  a long time a good letter
fear,someone knocked on the door when i was alone at home though  there was a door bell i looked through the peep hole but it  had been covered i called my sister but she could not help me  as she was hundreds of kilometres away
anger,my parents put pressure on me to buy clothes when i would not  have liked to do so
sadness,when my grandfather died i saw my grandmother crying against my  aunts shoulder i had never seen my grandmother cry before
disgust,at school i detested the spinach gruel which had lumps of flour  in it
shame,i told some acquaintances of mine something that i regretted  later
guilt,i speak harshly to my parents though they only mean my own  good
joy,when i got a letter from home
fear,while cycling in the country a dog started running beside me  growling and barking and trying to bite my foot
anger,disagreements with mother when i moved from kankaanpss she had  promised to help me move but broke her promise because of some  hindrance
sadness,when i had to move away from home to study and i knew that i  would not be coming back home for a long time
disgust,when i noticed two spiders running on the floor in different  directions
shame,when i realized that i had been wrong about a person close to me  because of preset ideas and prejudices
guilt,when i reproached my friend because i was myself lowspirited and  disappointed
joy,i found myself a place after looking for one for a long time
fear,in an aeroplane
anger,i was angry at my boyfriend who had promised to come to see me  but did not because he spent the evening with his pals
sadness,the breaking up of a relationship we decided that the  relationship could not carry on so it was no surprise to me  and anyhow i had known it would happen sooner or later
disgust,the disgust i feel towards a certain person
shame,after an event in which i felt that i had acted unfairly
guilt,at my job i got disproportionately angry with a child my  reaction was not as it should have been
joy,i went to see the entrance examination results at university i  rejoyced at my success
fear,i borrowed a car which was supposed to be used for a long journey  a few hours later and one of the tyres burst in the middle of  the town and i did not know what to do
anger,an utterance which i had intended to be a joke was taken as an  offence in my opinion this was stupid and i got angry
sadness,my best friend had a relatively severe illness i was sad  because she was suffering
disgust,a man tried to have sexual intercourse with me though i had  communicated my unwillingness later on i felt disgust at that  person as well as myself because i had partly submitted
shame,i told my friend about how i had calculated my salary by cheating a  little when my friend remarked about it i understood that it  was wrong to do so and i felt ashamed
guilt,i am going steady with a boy but i had sexual intercourse with  another one and i felt guilty about it afterwards
joy,a good report card a scholarship in primary school
fear,i was walking home with a friend at night along a quiet street  something started rustling in the bush it was an exhibitionist
anger,i got angry at a friend of mine whom i caught reading my notebook  almanach
sadness,when my grandmother died of cancer
disgust,in a lift a drunken fat and untidy man tried to make advances at  me
shame,sometimes i have by accident said to another person something  in which it is easy to read a negative attitude
guilt,for the sheer pleasure of it i quarelled with my boyfriend who was trying  to be especially kind to me
joy,when i made the acquaintance of a certain person
fear,when abroad while driving a car along a dark winding road
anger,when my sister took my things without having asked for my permission  first
sadness,when my grandfather died
disgust,when i was working i got treated in a way which i felt was not  democratic
shame,while working as a domestic helper one day i had not cleaned up  very well and they made a remark about it
guilt,when i decided to move away from my parents home my mother told  me that it was as if a part of her had been torn out of her
joy,when i went to a job interview i met a person who was very nice  and his attitude made me glad
fear,my episode of fright happened when i came to study i had to  stand in front of my still unknown fellow students and talk about  myself my hands shook i flushed and became tonguetied
guilt,i felt guilty when i spent a night at my boyfriends place  particularly because i had been harsh and spiteful when i had  left home the reason was that i feared a possible discussion on  the subject and i wanted to leave defiantly
joy,i was in a restaurant with my boyfriend when i saw my best female  friend after not seeing her for two weeks we rejoyced hugged  and had a long talk
fear,one evening while going to meet a friend of mine i had to cross  a meadow by a dark road there were bushes on the other side of  the road the weather was damp and a bit foggy i heard steps  behind me and kept speeding up my steps all the time
anger,my brother told me that a person whom i know had insulted him  i am very fond of my brother and as he himself can not get angry  or hurt my protectiveness was aroused and i got angry
sadness,my guineapig had been ill for a couple of days one evening  when i came home i enquired as to how it was doing my mothers  expression told me that it had died my knees refused to support  me and i began to weep convulsively
disgust,i happened to see two boys fighting one of them fell down and  hurt his head the other one used this to spank the head of the boy on the ground
shame,i had been away all night without having told my parents about  it in the morning when i came home my mother looked tired  she said that she had been awake all night because of me and that  she was angry and disappointed
guilt,i had not written to or called my grandmother who was lonely  for a long time my mother asked me to call her on her behalf  and when i did so my grandmother was delighted and she told me  that she had been waiting for some news from us
joy,when i was sick my husband bought me a piece of cake
fear,i saw a man who had had a heartattack and who was being  treated for it i feared that my own father could have been  there
anger,when i saw a big man hit another one and nobody did anything
sadness,when my sister left to go home in sweden after the christmas  holidays
disgust,i once watched the series called dynasty on tv and i detested  it
shame,i feel guilty as i am not working and even my studies are not  progressing
joy,when my redcheeked content child runs to meet me in the yard of  the kindergarten and gives me a moist kiss on my cheek
fear,a neighbours girl had disappeared and many people were looking  for her someone had gone to notify the police something had  certainly happened to her
anger,without my permission my son had made popcorn after coming back  from school the consequences were a spoilt kettle and chaos in  the kitchen but what could have happened with the hot grease
sadness,the death of a close relative
disgust,one of my fellow students used questionable and unfair means to  advance her studies faster than others i detested her
shame,my friend told me in a fairly loud voice the blunders she  committed last night
guilt,i stopped my car in front of a pedestrian crossing as a child was  crossing the street the car driving in the next lane did not  stop and the child got hurt had i not stopped
joy,after my vacations one day after a lecture it occured to me to  buy a rose for my mother we went together to a pub and my  mother told me that she would be getting married next spring i  did not known about it and so was all the more glad
fear,i work at a day care centre and one day when the children were  outdoors a fouryear old boy disappeared from the yard i was  not looking after them then but as the manager it was me who was  responsible
anger,i was on vacation and therefore i did not attend a meeting of  the day care centre nevertheless the very day i came back they  called me early morining to ask me what are you going to do  about the matter which had been discussed in the meeting  then i got angry
sadness,the fact that my mother is getting married again my mother and  father divorced about 15 years ago means that she will probably  move to turku and our home which is a one family house will be  sold i myself have not been living at home for the past six  years
disgust,while travelling in a bus there were three people sitting behind  me two men and a woman they were drunk and the conversation  was unbelievable about fucking fellatio etc they tried  to get others to take part in the conversation i loathed it and  felt like crying
shame,when i was seven years old i stole a chewinggum from a big  glass bowl on the counter of a nearby shop and i got caught
guilt,i am the secretary of an association and during the last meeting  i forgot to take the minutes
joy,i had been away from home for a long time and when i came home i  was delighted it was wonderful to see familiar dear people and  i was rejoycing in advance i had been feeling very lonely
fear,i awoke at night and did not remember dreaming about antthing in  particular i just felt oppressing fear it was dark and all the  others were sleeping
anger,one winter day i unwillingly was outdoors with my younger  brother 10 years younger than me i lost my temper on him and  wanted to throw my brother down the snow bank we were on i  pushed him but not as hard as i had wanted to we were alone the  two of us
sadness,i was on a class excursion by boat to stockholm at night my  class mates prepared to clebrate their motive in life which was  life is merriment i felt depressed about the way they sought  happiness
disgust,i was on my way home by bus a man who had drunk a fair amount of  alcohol started talking trying to hug and pat a woman sitting  next to him fortunately it was not me
shame,i gave a wrong answer at school
guilt,when my little brother asked me to play with him i told him that  i had no time and that i would play with him the next day  however the next day i said the same thing
joy,when after a long time i saw a girl with whom i was in love
fear,when i was walking on a fairly outoftheway street
anger,a friend of mine had promised to arrange me some tickets for a  concert which i considered important he could not get them the  way he thought he would so he gave up the whole thing
sadness,i was sad when i saw that a beautiful girl was not attainable
disgust,i heard somebody talk about studies in a highly enthusiastic  studentlike way
shame,while attending some affairs which were taking some time with  a bank officer i felt that my clothes and appearance were out of place too  raggy
guilt,one evening i went out with some friends of mine although i was  supposed to stay at home with my little sister who is 11
joy,while watching an entertainment program in which there was a clever  and amusing sketch
fear,when i was in the army a room mate of mine came back from  furlough and threatened another fellow with a knife
anger,the last day of school is traditionally celebrated by singing a  song about all the students who are leaving in the song  about me there were things which irritated me a lot
sadness,i worked for seven months in a factory and made friends with a  fellow worker later i visited my former fellow workers and was  told that while in the army my friend had shot himself
disgust,the behaviour of a fellow towards me and some others in the army  was really mean i detested this
shame,i tried to date a girl but she refused
guilt,while doing some calculation exercises i neglected a part of it  though i had marked it as done by chance i was asked to  demonstrate this very part on the blackboard
joy,in the army my result at the shooting exercises got  me a three day furlough
fear,when i was 8 years old i would usually come home from school  with my mother in a car for the first time i had to take the  school bus and i mistook the bus stop and found myself two  kilometres away from where i lived i was very scared wondering  how i would get back home
anger,i read in the newspaper that the student lodging fund was going  to build new appartments for refugees in my opinion this is the  states affair this is when only a fractoin of the students  can find an appartment
sadness,i lead a rather secure life the only thing i can remember is a  song from the nineteenth century which is against alcohol both  the melody and the word although naive effected my emotions
disgust,yesterday in the elevator a man started smoking this is  something i just can not tolerate
shame,in primary school i once faltered while answering a question and  the others started laughing
guilt,generally when i am shopping i feel like i were guilty of all  the thefts through the year i have never stolen
joy,when my favourite football team made a goal and was about to  win the cup of england
fear,i was less than 10 years old when our neighbours dog chased me  to the roof of a small shed and there seemed to be no hope of  getting away from there
anger,while playing a ball game i was just about to make a goal when i  was thrown off my feet and i failed to score the goal
sadness,when i heard about the death of frantois truffaut the french motion  picture director on the radio i had planned to go and see his  last film
disgust,i saw a movie called the thing the film directed by john  carpenter the monster in the film made me feel disgusted
shame,i had misbehaved at a party and did not wish to meet the person  in question later
guilt,while playing a ball game i made a mistake and we lost the game
joy,when i was in the sauna bath
fear,i had a dream in which i was an african elephant
anger,when i came for the lesson it was cancelled and i had to fill in  a questionnaire instead
sadness,when my car froze and i could not start it
disgust,when i saw our computer teacher
shame,when i was going downhill on skis and fell down twice the first  time
guilt,when i was involved in a car crash
joy,i passed an exam which i thought i had failed
fear,my mother had not come home at midnight she had forgotten to  tell me about it i was very young and all alone at home
anger,my girlfriend started singing she cannot sing and did not stop  despite my asking her to do so
sadness,when my grandmother died of cancer
disgust,when i was still a child i saw a horror film on tv in which  there was a rotten human skull
shame,as a small boy i took a coin from an empty taxi cab my mother  saw it and told the driver about it i even knew the driver
guilt,when i betrayed my former girlfriend
anger,new years eve party in the country i hardly knew a person my  partner spent most of the time at the bar i had little  opportunity to get to know people because our table was separated  and my boyfriends parents were present
sadness,christmas eve there was a tension between my parents they did  not even try to restore a harmonic atmosphere mother stayed in  her room almost the whole day i felt alone and was very sad
disgust,father said if you are pregnant you will have to procure  abortion i was filled with disgust against my father
shame,i had an intimate relation with my boyfriend but unfortunately  we had sexual problems therefore i deceived him but i was  ashamed when i told my friend about it
guilt,i work at a commercial house from 7 to 10 am on a very cold day  in winter i was late and let a fellow worker stand in the cold  for half an hour
joy,after one year of searching my friend and i have found a flat we  are able to pay for
fear,car accident in the middle of the night
anger,at the weekend i wanted to be absent from school because of a  sports event but my teacher refused to give me the day off  because he didnt like me
sadness,when i was six years old my favourite cat died
disgust,a gigantic spider climbed over my face and what is more in my  own flat
shame,i was very fat and felt absolutely unwell i was afraid of  leaving the house and getting to know new people
guilt,i was said to be responsible for my mother getting ill and  growing thin i did not realize that it really was my fault until  several weeks later
joy,i won a car in a prizecompetition the moment i was informed  about it i felt joy
fear,my sister had to undergo a very complicated operation her  eyesight was at stake
anger,i had a quarrel with my parents i was convinced to be right
sadness,i heard that a friend had died in an accident group situation  suddenly a friend came in and said have you already heard  that there was a terrible consternation silence then  everybody shouted excitedly how could that happen
disgust,scuffle in a carriage of the underground in vienna three drunk  men thrashed a man in a wheel chair i watched the scene from  another carriage
shame,i put an end to a friendship with a girl i had only pretended  love and affection to be able to sleep with her
guilt,a young girl tried to put an end to her life because of lovers  grief not until she was in hospital i heard that i had been the  reason for her action
joy,in order to be admitted to my final examination i had to pass  two examinations as i had not studied very much i resigned  myself to be left behind nevertheless i succeeded in these  examinations
fear,i had not told my parents about my bad marks in school one day  my father wanted to speak to the teachers fortunately i could  influence my parents to take it easy
anger,i wanted to go to a friend of mine who had a party at the moment  i wanted to leave my father said i couldnt go because he needed  me for some work in the afternoon
sadness,a friend of mine who had repeated a year at school once before  did not pass the final examination and had to take it again half  a year later
disgust,ecoactivists demonstrated against a project to build a power station  at the danube in the middle of a lowland forest hainburg and  the government decided to delay it for another year when my  father heard about it he said that we needed another hitler
shame,there was a time when my room looked terribly untidy just at  that time my aunt came to see me fortunately i could prevent her  from entering the room
guilt,i was supposed to fetch some friends at the bus stop but i did  not do it because my father was in a bad mood and i was afraid  that he would grumble
joy,my boyfriend returned after a long absence
fear,my car skidded on the wet street
anger,i wanted to see a friend i had been looking forward to it and  had certain expectations but he did not pay any attention to me  played cards with other people
sadness,a good friend quitted me after he had behaved in a strange  manner
disgust,in broad daylight i saw an untidy old man pissing and playing  with his penis in the middle of the town
shame,somebody who knows me very well discovered that i had told him a  lie
guilt,when my boyfriend was away i flirted with his best friend i  felt guilty the next day
anger,recently a good friend only called me when he needed something  he never said please or thank you or any other kind word
sadness,my favourite horse died we had tried our best to save him but  it was hopeless he had to be shot
disgust,i read a book about the sexual phantasies of women i read about  a woman having sexual intercourse with a dog
shame,in our flat the bathtub is in the kitchen at the beginning i  had very intensive feelings of shame when i had a bath and people  were in the kitchen
guilt,i had to take care of the plants of a friend of mine for several  weeks i watered them but let them stand in a cold room so that  two of them perished
joy,when i met a good friend after a long time we had had a quarrel  but after two weeks i was really glad to see him again
fear,when we stayed in vienna with our class my friend and i behaved  incorrectly our teacher threatened us with exclusion from  school
anger,when i lost my driving license because i had been driving while  under the influence of alcool
sadness,my mothers death
